============================== POTENTIAL BUGS ==============================
BugReport(score=1.00, code=drake/common/test/symbolic_environment_test.cc:71, key=(to_string, None), ctx=(PrintStringTo, None)
BugReport(score=1.00, code=drake/common/test/symbolic_environment_test.cc:71, key=(to_string, None), ctx=(PrintTo, None)
BugReport(score=1.00, code=drake/common/test/symbolic_environment_test.cc:71, key=(to_string, None), ctx=(failure_message, None)
BugReport(score=1.00, code=drake/common/test/symbolic_environment_test.cc:71, key=(to_string, None), ctx=(UniversalPrint, None)
BugReport(score=1.00, code=drake/common/test/symbolic_environment_test.cc:71, key=(to_string, None), ctx=(AssertionSuccess, None)
BugReport(score=1.00, code=drake/common/test/symbolic_environment_test.cc:71, key=(to_string, None), ctx=(Print, None)
BugReport(score=1.00, code=drake/common/test/symbolic_environment_test.cc:71, key=(to_string, None), ctx=(str, None)
BugReport(score=1.00, code=drake/solvers/moby_lcp_solver.cc:658, key=(begin, None), ctx=(end, None)
BugReport(score=0.98, code=drake/systems/trajectory_optimization/direct_collocation_constraint.cc:18, key=(derivatives, None), ctx=(value, None)
BugReport(score=0.98, code=drake/systems/trajectory_optimization/direct_collocation_constraint.cc:16, key=(derivatives, None), ctx=(value, None)
BugReport(score=0.98, code=drake/solvers/mathematical_program.cc:1098, key=(rows, ((1, 9223372036854775807),)), ctx=(rows, ((1, 9223372036854775807),))
BugReport(score=0.98, code=drake/solvers/moby_lcp_solver.cc:676, key=(col, None), ctx=(col, None)
BugReport(score=0.98, code=drake/multibody/parsers/urdf_parser.cc:128, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/multibody/parsers/test/xml_util_test.cc:87, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/thirdParty/bsd/spruce/spruce.cc:283, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/thirdParty/bsd/spruce/spruce.cc:383, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/thirdParty/bsd/spruce/spruce.cc:353, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/thirdParty/bsd/spruce/spruce.cc:210, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/thirdParty/bsd/spruce/spruce.cc:371, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/thirdParty/bsd/spruce/spruce.cc:173, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/thirdParty/bsd/spruce/spruce.cc:374, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/thirdParty/bsd/spruce/spruce.cc:335, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/thirdParty/bsd/spruce/spruce.cc:194, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/thirdParty/bsd/spruce/spruce.cc:401, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/multibody/parsers/sdf_parser.cc:918, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/thirdParty/bsd/spruce/spruce.cc:274, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/multibody/parsers/urdf_parser.cc:1200, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=/usr/lib/gcc/x86_64-redhat-linux/6.3.1/../../../../include/c++/6.3.1/bits/basic_string.h:5443, key=(c_str, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.98, code=drake/systems/controllers/pid_controller.cc:132, key=(size, ((1, 9223372036854775807),)), ctx=(size, ((1, 9223372036854775807),))
BugReport(score=0.98, code=drake/multibody/ik_trajectory_helper.cc:127, key=(cols, ((1, 9223372036854775807),)), ctx=(cols, ((1, 9223372036854775807),))
BugReport(score=0.97, code=drake/common/symbolic_expression_cell.cc:292, key=(find, None), ctx=(end, None)
BugReport(score=0.97, code=drake/solvers/test/optimization_examples.cc:109, key=(CompareMatrices, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.97, code=drake/solvers/test/optimization_examples.cc:125, key=(CompareMatrices, None), ctx=(GetBoolAssertionFailureMessage, None)
BugReport(score=0.97, code=drake/solvers/test/optimization_examples.cc:109, key=(CompareMatrices, None), ctx=(c_str, None)
BugReport(score=0.97, code=drake/solvers/test/optimization_examples.cc:125, key=(CompareMatrices, None), ctx=(c_str, None)
BugReport(score=0.97, code=drake/systems/framework/test/leaf_context_test.cc:348, key=(derivatives, None), ctx=(derivatives, None)
BugReport(score=0.97, code=drake/common/test/autodiff_overloads_test.cc:332, key=(derivatives, None), ctx=(derivatives, None)
BugReport(score=0.97, code=/usr/local/include/eigen3/unsupported/Eigen/src/AutoDiff/AutoDiffScalar.h:614, key=(derivatives, None), ctx=(derivatives, None)
BugReport(score=0.97, code=drake/systems/framework/test/system_test.cc:459, key=(derivatives, None), ctx=(derivatives, None)
BugReport(score=0.97, code=drake/solvers/test/optimization_examples.cc:227, key=(this->x_, None), ctx=(this->x_, None)
BugReport(score=0.97, code=drake/solvers/test/linear_program_examples.cc:72, key=(this->x_, None), ctx=(this->x_, None)
BugReport(score=0.97, code=drake/solvers/test/linear_program_examples.cc:37, key=(this->x_, None), ctx=(this->x_, None)
BugReport(score=0.96, code=drake/common/trajectories/test/piecewise_polynomial_generation_test.cc:190, key=(getStartTime, None), ctx=(getEndTime, None)
BugReport(score=0.96, code=drake/common/symbolic_expression_cell.cc:1020, key=(Differentiate, None), ctx=(Differentiate, None)
BugReport(score=0.96, code=drake/multibody/parsers/urdf_parser.cc:149, key=(FirstChildElement, ((0, 0),)), ctx=(FirstChildElement, ((0, 0),))
BugReport(score=0.96, code=drake/multibody/parsers/sdf_parser.cc:829, key=(FirstChildElement, ((0, 0),)), ctx=(FirstChildElement, ((0, 0),))
BugReport(score=0.96, code=drake/multibody/parsers/sdf_parser.cc:158, key=(FirstChildElement, ((0, 0),)), ctx=(FirstChildElement, ((1, 18446744073709551615),))
BugReport(score=0.96, code=drake/multibody/parsers/sdf_parser.cc:80, key=(FirstChildElement, ((0, 0),)), ctx=(FirstChildElement, ((1, 18446744073709551615),))
BugReport(score=0.96, code=drake/multibody/global_inverse_kinematics.cc:278, key=(q, None), ctx=(q, None)
