============================== POTENTIAL BUGS ==============================
BugReport(score=0.94, code=drake/multibody/parsers/xml_util.cc:158, key=(FirstChildElement, 0), ctx=(False, False)
BugReport(score=0.94, code=drake/../drake/multibody/parsers/xml_util.h:27, key=(FirstChildElement, 0), ctx=(False, False)
BugReport(score=0.94, code=drake/multibody/parsers/xml_util.cc:100, key=(FirstChildElement, 0), ctx=(False, False)
BugReport(score=0.94, code=drake/multibody/parsers/xml_util.cc:170, key=(FirstChildElement, 0), ctx=(False, False)
BugReport(score=0.94, code=drake/multibody/parsers/xml_util.cc:182, key=(FirstChildElement, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/systems/controllers/test/inverse_dynamics_test.cc:166, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/systems/controllers/test/pid_controller_test.cc:76, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/multibody/parsers/urdf_parser.cc:128, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/systems/controllers/test/pid_controller_test.cc:77, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/multibody/parsers/test/urdf_parser_test/urdf_parser_test.cc:121, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/../drake/common/symbolic_expression_visitor.h:48, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/systems/controllers/test/pid_controller_test.cc:78, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/multibody/parsers/test/urdf_parser_test/urdf_parser_test.cc:117, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/systems/primitives/test/affine_system_test.cc:255, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/common/test/drake_assert_test.cc:12, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/common/test/drake_assert_test.cc:19, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.92, code=drake/solvers/mathematical_program.cc:1060, key=(Abort, 0), ctx=(False, False)
BugReport(score=0.91, code=/usr/include/gtest/gtest-printers.h:756, key=(Print, 0), ctx=(False, False)
BugReport(score=0.91, code=/usr/include/gtest/gtest-printers.h:849, key=(Print, 0), ctx=(False, False)
BugReport(score=0.91, code=drake/multibody/parsers/xml_util.cc:133, key=(Attribute, 0), ctx=(False, False)
BugReport(score=0.91, code=drake/multibody/parsers/xml_util.cc:146, key=(Attribute, 0), ctx=(False, False)
BugReport(score=0.91, code=drake/../drake/multibody/parsers/xml_util.h:36, key=(Attribute, 0), ctx=(False, False)
BugReport(score=0.91, code=drake/multibody/parsers/xml_util.cc:118, key=(Attribute, 0), ctx=(False, False)
