============================== POTENTIAL BUGS ==============================
BugReport(score=0.94, code=/usr/lib/gcc/x86_64-redhat-linux/6.3.1/../../../../include/c++/6.3.1/bits/basic_string.h:5138, key=compare, ctx=((-2147483648, -1), (1, 2147483647))
BugReport(score=0.93, code=drake/common/symbolic_expression_cell.cc:99, key=is_polynomial, ctx=((0, 0),)
BugReport(score=0.93, code=drake/common/symbolic_expression_cell.cc:953, key=is_polynomial, ctx=((0, 0),)
BugReport(score=0.90, code=drake/multibody/parsers/urdf_parser.cc:750, key=NextSiblingElement, ctx=((0, 0),)
BugReport(score=0.87, code=drake/multibody/parsers/urdf_parser.cc:1295, key=Attribute, ctx=((0, 0),)
BugReport(score=0.87, code=drake/multibody/parsers/sdf_parser.cc:427, key=Attribute, ctx=((0, 0),)
BugReport(score=0.87, code=drake/multibody/parsers/urdf_parser.cc:481, key=Attribute, ctx=((0, 0),)
BugReport(score=0.87, code=drake/multibody/parsers/urdf_parser.cc:652, key=Attribute, ctx=((0, 0),)
BugReport(score=0.87, code=drake/multibody/parsers/urdf_parser.cc:953, key=Attribute, ctx=((0, 0),)
BugReport(score=0.87, code=drake/multibody/parsers/urdf_parser.cc:754, key=Attribute, ctx=((0, 0),)
BugReport(score=0.86, code=drake/systems/framework/sparsity_matrix.cc:94, key=get_data_type, ctx=((0, 0),)
BugReport(score=0.86, code=drake/systems/framework/sparsity_matrix.cc:36, key=get_data_type, ctx=((0, 0),)
BugReport(score=0.83, code=drake/systems/primitives/test/affine_system_test.cc:77, key=has_only_continuous_state, ctx=((0, 0),)
BugReport(score=0.80, code=drake/common/test/symbolic_variables_test.cc:137, key=IsSubsetOf, ctx=((1, 255),)
BugReport(score=0.80, code=drake/common/test/symbolic_variables_test.cc:130, key=IsSubsetOf, ctx=((1, 255),)
BugReport(score=0.80, code=drake/common/test/symbolic_variables_test.cc:123, key=IsSubsetOf, ctx=((1, 255),)
BugReport(score=0.80, code=drake/common/test/symbolic_variables_test.cc:109, key=IsSubsetOf, ctx=((1, 255),)
BugReport(score=0.80, code=drake/common/test/symbolic_variables_test.cc:116, key=IsSubsetOf, ctx=((1, 255),)
BugReport(score=0.80, code=drake/multibody/inverse_kinematics_trajectory_backend.cc:456, key=getCategory, ctx=((-2147483648, -2), (0, 2147483647))
